"playerID","trialID","questionset","question","condition","correctanswer","stimuli.true","response_1","response_2","response_3","correct_1","correct_2","correct_3","gender","race","marital","eng.first.lang","eng.read","lang.home","zip","citizenship","years.in.us","enrolled","education","employed","income","hh.size","deg.minors","poli.party","poli.orient","religious","religion","edu.ordinal","income.ordinal","relig.ordinal","ideology_strength"
"HrifbHaZPokwoQDTW",18,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim10_politics_true.png","Probabilistic","100",FALSE,"66","53","61",TRUE,TRUE,TRUE,"Male","Asian Pacific or South-East Asian (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)","Single, never married","Yes","Excellent","An Asian Pacific or South-East Asian language (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)",20151,"UNITED STATES",22,"Yes, full time","Bachelor's degree","Yes, full time","$250,001-$350,000","3-5","0","Democratic","Liberal","Definitely not","I do not identify with any of these",3,8,1,2
"HrifbHaZPokwoQDTW",18,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim9_politics_true.png","Probabilistic","100",FALSE,"69","66","63",TRUE,TRUE,TRUE,"Male","Asian Pacific or South-East Asian (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)","Single, never married","Yes","Excellent","An Asian Pacific or South-East Asian language (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)",20151,"UNITED STATES",22,"Yes, full time","Bachelor's degree","Yes, full time","$250,001-$350,000","3-5","0","Democratic","Liberal","Definitely not","I do not identify with any of these",3,8,1,2
"HrifbHaZPokwoQDTW",18,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim8_news_false.png","Probabilistic","0",TRUE,"1","4","3",TRUE,TRUE,TRUE,"Male","Asian Pacific or South-East Asian (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)","Single, never married","Yes","Excellent","An Asian Pacific or South-East Asian language (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)",20151,"UNITED STATES",22,"Yes, full time","Bachelor's degree","Yes, full time","$250,001-$350,000","3-5","0","Democratic","Liberal","Definitely not","I do not identify with any of these",3,8,1,2
"HrifbHaZPokwoQDTW",18,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim3_vaccines_false.png","Probabilistic","0",TRUE,"0","0","0",TRUE,TRUE,TRUE,"Male","Asian Pacific or South-East Asian (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)","Single, never married","Yes","Excellent","An Asian Pacific or South-East Asian language (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)",20151,"UNITED STATES",22,"Yes, full time","Bachelor's degree","Yes, full time","$250,001-$350,000","3-5","0","Democratic","Liberal","Definitely not","I do not identify with any of these",3,8,1,2
"XMAMvr3RAEn94ya5n",24,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim14_health_true.png","Probabilistic","100",FALSE,"60","75","75",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",37138,"UNITED STATES",34,"No","Master's degree","Yes, full time","$20,001 - $50,000","3-5","1-2","Democratic","Liberal","Probably yes","Protestantism",4,3,4,2
"XMAMvr3RAEn94ya5n",24,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim11_politics_true.png","Probabilistic","100",FALSE,"20","100","100",FALSE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",37138,"UNITED STATES",34,"No","Master's degree","Yes, full time","$20,001 - $50,000","3-5","1-2","Democratic","Liberal","Probably yes","Protestantism",4,3,4,2
"XMAMvr3RAEn94ya5n",24,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim5_vaccines_false.png","Probabilistic","0",TRUE,"30","35","45",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",37138,"UNITED STATES",34,"No","Master's degree","Yes, full time","$20,001 - $50,000","3-5","1-2","Democratic","Liberal","Probably yes","Protestantism",4,3,4,2
"XMAMvr3RAEn94ya5n",24,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim4_vaccines_false.png","Probabilistic","0",TRUE,"60","75","75",FALSE,FALSE,FALSE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",37138,"UNITED STATES",34,"No","Master's degree","Yes, full time","$20,001 - $50,000","3-5","1-2","Democratic","Liberal","Probably yes","Protestantism",4,3,4,2
"dFX7YjeaSwfK84h2k",8,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim6_political_false.png","Probabilistic","0",TRUE,"11","10","10",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Living with partner","Yes","Excellent","English",29163,"UNITED STATES",53,"No","Some college","Yes, part time","$50,001- $75,000","2","0","Republican","Conservative","Definitely yes","I do not identify with any of these",2,4,5,2
"dFX7YjeaSwfK84h2k",8,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim13_economics_true.png","Probabilistic","100",FALSE,"61","62","60",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Living with partner","Yes","Excellent","English",29163,"UNITED STATES",53,"No","Some college","Yes, part time","$50,001- $75,000","2","0","Republican","Conservative","Definitely yes","I do not identify with any of these",2,4,5,2
