"Q9","Q8_First.Click","Q8_Last.Click","Q8_Page.Submit","Q8_Click.Count","stim1_t_First.Click","stim1_t_Last.Click","stim1_t_Page.Submit","stim1_t_Click.Count","stim1_fav_4","stim1_made_4","stim1_bias_4","stim3_t_First.Click","stim3_t_Last.Click","stim3_t_Page.Submit","stim3_t_Click.Count","stim3_favor_4","stim3_.ade_4","stim3_bias_4","stim4_t_First.Click","stim4_t_Last.Click","stim4_t_Page.Submit","stim4_t_Click.Count","stim4_favor_4","stim4_made_4","stim4_bias_4","stim5_t_First.Click","stim5_t_Last.Click","stim5_t_Page.Submit","stim5_t_Click.Count","stim5_favor_4","stim5_made_4","stim5_bias_4","stim6_t_First.Click","stim6_t_Last.Click","stim6_t_Page.Submit","stim6_t_Click.Count","stim6_favor_4","stim6_made_4","stim6_bias_4","stim8_t_First.Click","stim8_t_Last.Click","stim8_t_Page.Submit","stim8_t_Click.Count","stim8_favor_4","stim8_made_4","stim8_bias_4","stim9_t_First.Click","stim9_t_Last.Click","stim9_t_Page.Submit","stim9_t_Click.Count","stim9_favor_4","stim9_made_4","stim9_bias_4","stim10_t_First.Click","stim10_t_Last.Click","stim10_t_Page.Submit","stim10_t_Click.Count","stim10_favor_4","stim10_made_4","stim10_bias_4","Q67_First.Click","Q67_Last.Click","Q67_Page.Submit","Q67_Click.Count","stim11_favor_4","stim11_made_4","stim11_bias_4","stim13_t_First.Click","stim13_t_Last.Click","stim13_t_Page.Submit","stim13_t_Click.Count","stim13_favor_4","stim13_made_4","stim13_bias_4","stim14_t_First.Click","stim14_t_Last.Click","stim14_t_Page.Submit","stim14_t_Click.Count","stim14_favor_4","stim14_made_4","stim14_bias_4","stim18_t_First.Click","stim18_t_Last.Click","stim18_t_Page.Submit","stim18_t_Click.Count","stim18_favor_4","stim18_made_4","stim18_bias_4","Q120","Q122","coder_id"
"I understand these instructions.",2.601,14.524,16.359,6,2.146,8.6,10.137,4,-15,-23,18,6.684,14.201,15.815,5,18,23,26,3.808,9.021,10.624,4,11,22,36,1.268,16.375,17.535,8,17,32,17,1.638,11.837,13.008,6,13,18,23,5.841,18.962,27,7,18,26,26,9.327,20.811,21.437,6,18,31,25,7.356,15.94,17.988,5,-24,-26,-13,4.437,14.144,15.152,7,4,8,18,4.887,34.171,37.362,9,39,21,36,3.02,9.341,10.88,6,-19,21,21,3.348,24.053,27.348,11,14,15,5,"Republican","Man",544391
"I understand these instructions.",5.776,11.248,12.455,4,36.08,42.484,43.383,5,-32,-20,38,3.282,10.797,12.782,5,11,26,-16,3.176,13.522,14.968,9,-6,15,-35,3.591,8.585,11.342,4,-33,-20,35,1.778,8.954,10.865,4,10,-32,15,2.009,15.624,18.301,4,18,14,-36,7.531,14.722,17.794,3,15,28,-23,4.776,10.361,11.35,3,-27,-8,21,4.182,16.75,18.132,9,-27,-12,24,3.585,10.069,12.492,5,25,36,-12,2.552,14.401,15.674,10,15,29,-25,4.098,22.669,23.065,6,34,11,-17,"Independent","Woman",951368
"I understand these instructions.",0.981,4.402,5.474,3,14.914,20.174,20.911,3,36,50,17,2.046,6.002,6.852,3,-30,-50,-30,1.055,4.609,5.748,3,-30,-50,-26,10.827,17.426,18.368,4,28,45,27,12.132,16.405,17.429,5,29,50,24,16.494,26.874,27.721,4,34,-32,37,1.461,3.607,4.691,2,-35,-50,-29,1.163,5.602,6.61,4,-40,-23,-46,1.161,4.362,4.887,3,34,50,32,1.091,4.436,5.195,3,26,50,27,13.717,24.917,25.795,3,38,-34,32,6.969,18.249,19.489,4,32,-28,47,"Republican","Man",222613
"I understand these instructions.",2.044,7.091,8.557,4,1.724,6.608,9.033,3,12,11,13,1.63,7.057,8.114,3,-12,-15,16,15.624,18.602,20.055,2,14,NA,15,2.79,7.916,9.072,4,8,13,12,1.88,6.782,7.605,3,-7,-7,8,12.878,16.271,17.196,3,8,10,21,1.026,7.459,12.557,4,-16,-11,11,3.113,13.195,14.16,8,-18,-17,14,22.606,36.851,37.945,3,9,7,7,2.185,6.74,7.616,3,10,10,10,28.554,37.423,38.761,6,6,15,10,0.238,10.996,12.677,6,5,6,9,"Democrat","Man",135929
"I understand these instructions.",7.602,14.545,15.337,3,9.67,18.85,19.88,8,35,33,19,7.854,11.653,12.287,3,25,29,44,52.802,62.671,66.33,3,NA,NA,-19,6.882,13.124,18.466,5,NA,NA,-42,18.744,25.953,26.857,4,25,34,20,5.366,8.528,9.791,3,-8,NA,-33,25.262,39.378,42.858,4,NA,-2,NA,15.626,22.479,23.374,5,33,47,25,13.901,26.526,27.158,9,-20,-37,23,21.792,27.903,28.801,4,-23,-38,20,8.406,13.1,13.933,4,-25,-33,18,31.352,37.508,39.381,5,15,17,-21,"Independent","Man",219318
"I understand these instructions.",6.445,25.705,48.06,5,0.159,5.853,7.364,3,21,16,16,0.96,6.628,7.466,3,19,20,22,5.556,38.177,60.045,7,NA,21,20,0.461,12.035,12.927,4,18,19,24,2.871,8.189,10.96,3,14,12,10,3.186,11.858,13.852,3,15,22,15,44.603,57.543,59.051,5,NA,12,19,0.602,8.358,9.83,4,19,20,17,0.729,9.435,10.39,3,16,16,23,2.172,7.368,8.803,3,16,16,18,0.79,8.787,9.989,3,26,19,19,2.628,5.795,7.339,3,11,23,17,"Democrat","Man",891075
"I understand these instructions.",10.568,13.496,14.912,3,4.56,8.449,9.623,4,13,23,34,4.016,7.233,8.151,3,17,11,-14,5.269,8.463,9.302,3,8,11,-25,7.934,15.412,16.121,3,25,27,13,3.036,6.7,7.593,3,15,-16,-15,24.583,27.43,28.846,3,-10,-9,-11,24.574,43.124,44.211,3,-18,-16,-6,6.539,9.834,11.086,3,-3,-1,-14,20.516,23.825,24.857,3,11,-13,-13,18.776,35.063,35.824,5,20,42,18,6.298,10.507,11.633,3,-1,NA,-10,5.129,9.232,10.445,3,25,30,10,"Democrat","Woman",985275
"I understand these instructions.",2.58,19.417,21.462,16,2.708,8.787,10.117,5,43,14,NA,2.746,14.438,15.215,8,40,41,NA,2.175,19.462,27.016,8,25,45,NA,3.125,12.861,14.12,6,42,28,NA,2.355,12.028,12.547,6,42,25,NA,1.646,10.362,11.539,5,42,31,NA,1.346,35.616,37.653,16,43,48,NA,1.661,8.877,10.234,3,44,44,NA,1.306,10.602,12.29,3,45,32,NA,26.467,34.978,36.357,5,46,41,NA,2.802,14.32,15.442,5,42,27,NA,4.164,20.255,22.476,9,44,32,NA,"Republican","Man",727529
"I understand these instructions.",38.483,42.973,44.801,4,0.417,4.792,5.792,4,11,7,10,0.85,4.344,5.735,3,11,7,11,2.401,12.899,15.257,6,8,10,10,0.417,4.147,5.301,3,9,8,13,0.051,5.172,6.469,4,12,9,6,0.898,7.236,8.726,6,15,12,13,1.181,10.175,11.674,6,11,9,6,1.931,4.375,5.762,3,10,7,11,0.058,5.574,6.742,4,9,12,6,0.438,5.962,7.344,4,12,13,11,0.513,3.764,5.095,3,11,8,7,2.213,7.002,8.913,4,10,8,13,"Democrat","Woman",608435
"I understand these instructions.",14.347,19.03,20.181,3,28.201,32.764,33.652,3,20,21,24,11.263,15.614,16.91,3,NA,NA,-12,9.437,13.34,14.376,3,NA,NA,-12,11.613,16.5,17.747,3,NA,NA,-16,11.229,37.052,38.13,5,22,27,44,12.002,17.354,18.456,4,NA,NA,-11,10.872,23.993,25.605,4,NA,NA,13,13.036,36.068,37.497,8,22,24,46,31.792,37.272,38.4,3,-9,-11,16,15.668,20.279,21.643,3,NA,NA,-17,20.99,26.734,29.155,4,NA,NA,-18,21.192,37.63,40.333,5,NA,NA,-11,"Republican","Man",523846
